seq,group,folder,ordinal,member,neutral_file,path,top,ok_broad,review,instrument_steal,status,final_source,shape,raw_consensus,raw_family,seconds,error,verified_with_third_party_enabled,acceptance_status,correction_note
19,4,one_shot_percussive_sounds/4,159,one_shot_percussive_sounds/4/208262.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00159.wav,_TO_REVIEW/Broken Or Tiny,_TO_REVIEW,False,True,False,broken_or_tiny_review,,broken_or_tiny,,,0.67,,True,PASS_BROKEN_OR_TINY_REVIEW,rerun individually with third-party enabled; sorter returned Broken Or Tiny review
20,4,one_shot_percussive_sounds/4,160,one_shot_percussive_sounds/4/208263.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00160.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,hit_with_tail,,,0.71,,,PASS,
21,5,one_shot_percussive_sounds/5,156,one_shot_percussive_sounds/5/439853.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00156.wav,Drums/Percussion/Bells and Metallic Percussion/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.68,,,PASS,
22,5,one_shot_percussive_sounds/5,157,one_shot_percussive_sounds/5/439854.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00157.wav,Drums/Toms/Floor Tom/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.7,,,PASS,
23,5,one_shot_percussive_sounds/5,158,one_shot_percussive_sounds/5/439855.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00158.wav,Drums/Toms/Floor Tom/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.72,,,PASS,
24,5,one_shot_percussive_sounds/5,159,one_shot_percussive_sounds/5/439856.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00159.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.67,,,PASS,
25,5,one_shot_percussive_sounds/5,160,one_shot_percussive_sounds/5/439857.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00160.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,0.69,,,PASS,
1,1,one_shot_percussive_sounds/1,161,one_shot_percussive_sounds/1/15592.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00161.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,strong_consensus,,echo_tail_hit,,,0.29,,,PASS,
2,1,one_shot_percussive_sounds/1,162,one_shot_percussive_sounds/1/15593.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00162.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.7,,,PASS,
3,1,one_shot_percussive_sounds/1,163,one_shot_percussive_sounds/1/15594.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00163.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,hit_with_tail,,,0.71,,,PASS,
4,1,one_shot_percussive_sounds/1,164,one_shot_percussive_sounds/1/16233.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00164.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.74,,,PASS,
5,1,one_shot_percussive_sounds/1,165,one_shot_percussive_sounds/1/16234.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00165.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.73,,,PASS,
6,2,one_shot_percussive_sounds/2,161,one_shot_percussive_sounds/2/105540.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00161.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.73,,,PASS,
7,2,one_shot_percussive_sounds/2,162,one_shot_percussive_sounds/2/105541.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00162.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.73,,,PASS,
8,2,one_shot_percussive_sounds/2,163,one_shot_percussive_sounds/2/105542.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00163.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.72,,,PASS,
9,2,one_shot_percussive_sounds/2,164,one_shot_percussive_sounds/2/105560.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00164.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.71,,,PASS,
10,2,one_shot_percussive_sounds/2,165,one_shot_percussive_sounds/2/105562.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00165.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.73,,,PASS,
11,3,one_shot_percussive_sounds/3,161,one_shot_percussive_sounds/3/143741.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00161.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.69,,,PASS,
12,3,one_shot_percussive_sounds/3,162,one_shot_percussive_sounds/3/143742.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00162.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.72,,,PASS,
13,3,one_shot_percussive_sounds/3,163,one_shot_percussive_sounds/3/143743.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00163.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.71,,,PASS,
14,3,one_shot_percussive_sounds/3,164,one_shot_percussive_sounds/3/143744.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00164.wav,Drums/Claps Snaps Slaps/Generic Clap/One Shots,Drums,True,False,False,baby_recall_clap_claim,,hit_with_tail,,,0.72,,,PASS,
15,3,one_shot_percussive_sounds/3,165,one_shot_percussive_sounds/3/143745.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00165.wav,Drums/Toms/Floor Tom/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,hit_with_tail,,,0.71,,,PASS,
16,4,one_shot_percussive_sounds/4,161,one_shot_percussive_sounds/4/208264.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00161.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,hit_with_tail,,,0.7,,,PASS,
17,4,one_shot_percussive_sounds/4,162,one_shot_percussive_sounds/4/208265.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00162.wav,Drums/Toms/Floor Tom/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,echo_tail_hit,,,0.7,,,PASS,
18,4,one_shot_percussive_sounds/4,163,one_shot_percussive_sounds/4/208266.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00163.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,0.7,,,PASS,
19,4,one_shot_percussive_sounds/4,164,one_shot_percussive_sounds/4/208267.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00164.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_decisive_struck_percussion_parent_invariant,,echo_tail_hit,,,0.68,,,PASS,
20,4,one_shot_percussive_sounds/4,165,one_shot_percussive_sounds/4/208268.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00165.wav,Drums/World Percussion/Latin Percussion/Conga/One Shots,Drums,True,False,False,strong_consensus,,hit_with_tail,,,0.69,,,PASS,
21,5,one_shot_percussive_sounds/5,161,one_shot_percussive_sounds/5/439859.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00161.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.7,,,PASS,
22,5,one_shot_percussive_sounds/5,162,one_shot_percussive_sounds/5/439860.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00162.wav,Drums/World Percussion/Latin Percussion/Conga/One Shots,Drums,True,False,False,strong_consensus,,hit_with_tail,,,0.7,,,PASS,
23,5,one_shot_percussive_sounds/5,163,one_shot_percussive_sounds/5/439861.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00163.wav,Drums/Percussion/Generic Percussion/One Shots,Drums,True,False,False,placement_depth_broad_bucket,,single_hit,,,0.72,,,PASS,
24,5,one_shot_percussive_sounds/5,164,one_shot_percussive_sounds/5/439862.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00164.wav,Drums/Percussion/Generic Percussion/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,0.7,,,PASS,
25,5,one_shot_percussive_sounds/5,165,one_shot_percussive_sounds/5/439863.wav,/mnt/data/perc_system_run/neutral_extract/g05/neutral_g05_00165.wav,Drums/Rims and Sticks/Generic Rim or Stick/One Shots,Drums,True,False,False,strong_consensus,,single_hit,,,0.28,,,PASS,
1,1,one_shot_percussive_sounds/1,166,one_shot_percussive_sounds/1/16238.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00166.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.71,,,PASS,
2,1,one_shot_percussive_sounds/1,167,one_shot_percussive_sounds/1/16242.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00167.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.72,,,PASS,
3,1,one_shot_percussive_sounds/1,168,one_shot_percussive_sounds/1/16247.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00168.wav,Drums/Cymbals/Generic Cymbal/One Shots,Drums,True,False,False,final_weak_review_measured_drums_release,,texture_bed,,,0.76,,,PASS,
4,1,one_shot_percussive_sounds/1,169,one_shot_percussive_sounds/1/16266.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00169.wav,_TO_REVIEW/Broken Or Tiny,_TO_REVIEW,False,True,False,broken_or_tiny_review,,broken_or_tiny,,,0.71,,True,PASS_BROKEN_OR_TINY_REVIEW,rerun individually with third-party enabled; sorter returned Broken Or Tiny review
5,1,one_shot_percussive_sounds/1,170,one_shot_percussive_sounds/1/16267.wav,/mnt/data/perc_system_run/neutral_extract/g01/neutral_g01_00170.wav,Drums/Percussion/Guiros Scrapes and Rasps/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,texture_bed,,,0.7,,,PASS,
6,2,one_shot_percussive_sounds/2,166,one_shot_percussive_sounds/2/105563.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00166.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.72,,,PASS,
7,2,one_shot_percussive_sounds/2,167,one_shot_percussive_sounds/2/105571.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00167.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.71,,,PASS,
8,2,one_shot_percussive_sounds/2,168,one_shot_percussive_sounds/2/105573.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00168.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.74,,,PASS,
9,2,one_shot_percussive_sounds/2,169,one_shot_percussive_sounds/2/105591.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00169.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,0.73,,,PASS,
10,2,one_shot_percussive_sounds/2,170,one_shot_percussive_sounds/2/105657.wav,/mnt/data/perc_system_run/neutral_extract/g02/neutral_g02_00170.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,solo_phrase,,,0.73,,,PASS,
11,3,one_shot_percussive_sounds/3,166,one_shot_percussive_sounds/3/143746.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00166.wav,Drums/Toms/Floor Tom/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,hit_with_tail,,,0.72,,,PASS,
12,3,one_shot_percussive_sounds/3,167,one_shot_percussive_sounds/3/143747.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00167.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,percussive_one_shot_parent_firewall,,single_hit,,,0.72,,,PASS,
13,3,one_shot_percussive_sounds/3,168,one_shot_percussive_sounds/3/143748.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00168.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.73,,,PASS,
14,3,one_shot_percussive_sounds/3,169,one_shot_percussive_sounds/3/143749.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00169.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.72,,,PASS,
15,3,one_shot_percussive_sounds/3,170,one_shot_percussive_sounds/3/143750.wav,/mnt/data/perc_system_run/neutral_extract/g03/neutral_g03_00170.wav,Drums/Snares/Acoustic Snare/One Shots,Drums,True,False,False,final_measured_drum_one_shot_invariant,,single_hit,,,0.71,,,PASS,
16,4,one_shot_percussive_sounds/4,166,one_shot_percussive_sounds/4/208269.wav,/mnt/data/perc_system_run/neutral_extract/g04/neutral_g04_00166.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_protected_percussive_parent_release,,single_hit,,,0.7,,,PASS,
